Date : 2019-12-15 21:16:53
Directory : /Users/jens/Documents/GitHub/pxliot
Total : 134 files,  50375 codes, 1041 comments, 9347 blanks, all 60763 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |         13 |     21,975 |          0 |          1 |     21,976 |
| JSON       |          6 |     16,704 |          0 |          6 |     16,710 |
| HTML       |         57 |      7,524 |        167 |      8,641 |     16,332 |
| Vue        |         13 |      1,724 |        349 |        191 |      2,264 |
| CSS        |          8 |        915 |        100 |        196 |      1,211 |
| JavaScript |         24 |        863 |        220 |         89 |      1,172 |
| SCSS       |          5 |        426 |        188 |        153 |        767 |
| C++        |          1 |        120 |         16 |         23 |        159 |
| Markdown   |          2 |         74 |          1 |         39 |        114 |
| PHP        |          3 |         42 |          0 |          7 |         49 |
| SQL        |          2 |          8 |          0 |          1 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        134 |     50,375 |      1,041 |      9,347 |     60,763 |
| api                                                                                    |         51 |     14,731 |        322 |      4,591 |     19,644 |
| api/docs                                                                               |         41 |     13,818 |        138 |      4,532 |     18,488 |
| api/docs/fonts                                                                         |          6 |     10,987 |          0 |          0 |     10,987 |
| api/docs/scripts                                                                       |          3 |         53 |          1 |          4 |         58 |
| api/docs/scripts/prettify                                                              |          2 |         31 |          0 |          1 |         32 |
| api/docs/styles                                                                        |          3 |        456 |         50 |         98 |        604 |
| api/routes                                                                             |          5 |        177 |        170 |         44 |        391 |
| app                                                                                    |          1 |        120 |         16 |         23 |        159 |
| client                                                                                 |         78 |     35,431 |        702 |      4,694 |     40,827 |
| client/dist                                                                            |          5 |        343 |         27 |          0 |        370 |
| client/dist/css                                                                        |          2 |          3 |          0 |          0 |          3 |
| client/dist/js                                                                         |          2 |        339 |         27 |          0 |        366 |
| client/docs                                                                            |         38 |     16,679 |        129 |      4,311 |     21,119 |
| client/docs/fonts                                                                      |          6 |     10,987 |          0 |          0 |     10,987 |
| client/docs/scripts                                                                    |          3 |         53 |          1 |          4 |         58 |
| client/docs/scripts/prettify                                                           |          2 |         31 |          0 |          1 |         32 |
| client/docs/styles                                                                     |          3 |        456 |         50 |         98 |        604 |
| client/public                                                                          |          1 |         18 |          2 |          2 |         22 |
| client/sql                                                                             |          2 |          8 |          0 |          1 |          9 |
| client/src                                                                             |         23 |      2,304 |        543 |        363 |      3,210 |
| client/src/assets                                                                      |          6 |        427 |        188 |        154 |        769 |
| client/src/assets/scss                                                                 |          5 |        426 |        188 |        153 |        767 |
| client/src/assets/scss/base                                                            |          1 |         39 |          1 |         10 |         50 |
| client/src/assets/scss/vendors                                                         |          1 |        196 |        173 |         96 |        465 |
| client/src/components                                                                  |          2 |        120 |          0 |         10 |        130 |
| client/src/plugins                                                                     |          1 |          4 |          0 |          3 |          7 |
| client/src/router                                                                      |          1 |        115 |          2 |          8 |        125 |
| client/src/views                                                                       |         10 |      1,586 |        349 |        179 |      2,114 |
| client/src/views/IoT                                                                   |          6 |      1,185 |        283 |        132 |      1,600 |
| client/tests                                                                           |          1 |         11 |          0 |          2 |         13 |
| client/tests/unit                                                                      |          1 |         11 |          0 |          2 |         13 |
| php                                                                                    |          3 |         42 |          0 |          7 |         49 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/jens/Documents/GitHub/pxliot/README.md                                          | Markdown   |         51 |          1 |         32 |         84 |
| /Users/jens/Documents/GitHub/pxliot/api/app.js                                         | JavaScript |         26 |         13 |          8 |         47 |
| /Users/jens/Documents/GitHub/pxliot/api/database.js                                    | JavaScript |         20 |          1 |          4 |         25 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/add.js.html                               | HTML       |         66 |          3 |         24 |         93 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/app.js.html                               | HTML       |         70 |          3 |         27 |        100 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/delete.js.html                            | HTML       |         79 |          3 |         23 |        105 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/fonts/OpenSans-Bold-webfont.svg           | XML        |      1,830 |          0 |          0 |      1,830 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/fonts/OpenSans-BoldItalic-webfont.svg     | XML        |      1,830 |          0 |          0 |      1,830 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/fonts/OpenSans-Italic-webfont.svg         | XML        |      1,830 |          0 |          0 |      1,830 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/fonts/OpenSans-Light-webfont.svg          | XML        |      1,831 |          0 |          0 |      1,831 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/fonts/OpenSans-LightItalic-webfont.svg    | XML        |      1,835 |          0 |          0 |      1,835 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/fonts/OpenSans-Regular-webfont.svg        | XML        |      1,831 |          0 |          0 |      1,831 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/get.js.html                               | HTML       |         83 |          3 |         26 |        112 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/global.html                               | HTML       |         44 |          3 |        140 |        187 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/index.html                                | HTML       |         26 |          3 |         36 |         65 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-app.html                           | HTML       |         50 |          3 |        130 |        183 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Add-Router.html              | HTML       |         42 |          3 |         88 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Add.html                     | HTML       |        164 |          3 |        489 |        656 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Delete-Router.html           | HTML       |         42 |          3 |         88 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Delete.html                  | HTML       |        165 |          3 |        490 |        658 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Get-Router.html              | HTML       |         42 |          3 |         88 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Get.html                     | HTML       |        165 |          3 |        490 |        658 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Update-Router.html           | HTML       |         42 |          3 |         88 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-route_Update.html                  | HTML       |        164 |          3 |        489 |        656 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-router.html                        | HTML       |         33 |          3 |         49 |         85 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-routers_Get-Router.html            | HTML       |         42 |          3 |         88 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-routers_Get.html                   | HTML       |        121 |          3 |        392 |        516 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-routers_Router-Router.html         | HTML       |         42 |          3 |         88 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-routers_Router.html                | HTML       |        111 |          3 |        340 |        454 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-routers_users-Router.html          | HTML       |         42 |          3 |         88 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-routers_users-usersRouter.html     | HTML       |         79 |          3 |        215 |        297 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/module-routers_users.html                 | HTML       |         70 |          3 |        233 |        306 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/route.module_Update.html                  | HTML       |         44 |          3 |         88 |        135 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/routes_add.js.html                        | HTML       |         97 |          3 |         27 |        127 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/routes_delete.js.html                     | HTML       |        110 |          3 |         27 |        140 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/routes_get.js.html                        | HTML       |        119 |          3 |         29 |        151 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/routes_update.js.html                     | HTML       |        102 |          3 |         27 |        132 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/scripts/linenumber.js                     | JavaScript |         22 |          1 |          3 |         26 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/scripts/prettify/lang-css.js              | JavaScript |          2 |          0 |          1 |          3 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/scripts/prettify/prettify.js              | JavaScript |         29 |          0 |          0 |         29 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/styles/jsdoc-default.css                  | CSS        |        304 |          0 |         55 |        359 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/styles/prettify-jsdoc.css                 | CSS        |         78 |         17 |         17 |        112 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/styles/prettify-tomorrow.css              | CSS        |         74 |         33 |         26 |        133 |
| /Users/jens/Documents/GitHub/pxliot/api/docs/update.js.html                            | HTML       |         66 |          3 |         23 |         92 |
| /Users/jens/Documents/GitHub/pxliot/api/jsdoc.json                                     | JSON       |         16 |          0 |          1 |         17 |
| /Users/jens/Documents/GitHub/pxliot/api/package-lock.json                              | JSON       |        654 |          0 |          1 |        655 |
| /Users/jens/Documents/GitHub/pxliot/api/package.json                                   | JSON       |         20 |          0 |          1 |         21 |
| /Users/jens/Documents/GitHub/pxliot/api/routes/add.js                                  | JavaScript |         31 |         35 |          9 |         75 |
| /Users/jens/Documents/GitHub/pxliot/api/routes/delete.js                               | JavaScript |         41 |         38 |          9 |         88 |
| /Users/jens/Documents/GitHub/pxliot/api/routes/get.js                                  | JavaScript |         52 |         46 |         11 |        109 |
| /Users/jens/Documents/GitHub/pxliot/api/routes/index.js                                | JavaScript |          6 |         13 |          5 |         24 |
| /Users/jens/Documents/GitHub/pxliot/api/routes/update.js                               | JavaScript |         47 |         38 |         10 |         95 |
| /Users/jens/Documents/GitHub/pxliot/app/app.ino                                        | C++        |        120 |         16 |         23 |        159 |
| /Users/jens/Documents/GitHub/pxliot/client/.eslintrc.js                                | JavaScript |         22 |          1 |          2 |         25 |
| /Users/jens/Documents/GitHub/pxliot/client/README.md                                   | Markdown   |         23 |          0 |          7 |         30 |
| /Users/jens/Documents/GitHub/pxliot/client/babel.config.js                             | JavaScript |          3 |          0 |          1 |          4 |
| /Users/jens/Documents/GitHub/pxliot/client/dist/css/app.a578b966.css                   | CSS        |          2 |          0 |          0 |          2 |
| /Users/jens/Documents/GitHub/pxliot/client/dist/css/chunk-vendors.1daad6ca.css         | CSS        |          1 |          0 |          0 |          1 |
| /Users/jens/Documents/GitHub/pxliot/client/dist/index.html                             | HTML       |          1 |          0 |          0 |          1 |
| /Users/jens/Documents/GitHub/pxliot/client/dist/js/app.c2c27365.js                     | JavaScript |          1 |          1 |          0 |          2 |
| /Users/jens/Documents/GitHub/pxliot/client/dist/js/chunk-vendors.57b9b678.js           | JavaScript |        338 |         26 |          0 |        364 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Add.vue.html                           | HTML       |        228 |          3 |         33 |        264 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Dashboard.vue.html                     | HTML       |        422 |          3 |         48 |        473 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Delete.vue.html                        | HTML       |        170 |          3 |         33 |        206 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Edit.vue.html                          | HTML       |        179 |          3 |         38 |        220 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/Graphs.vue.html                        | HTML       |        292 |          3 |         43 |        338 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/IndividualData.vue.html                | HTML       |        197 |          3 |         30 |        230 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Add.vue.html                       | HTML       |        228 |          3 |         33 |        264 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Dashboard.vue.html                 | HTML       |        421 |          3 |         48 |        472 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Delete.vue.html                    | HTML       |        170 |          3 |         33 |        206 |
| /Users/jens/Documents/GitHub/pxliot/client/docs/IoT_Edit.vue.html                      | HTML       |        179 |          3 |         38 |        220 |
